"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Ldha","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Ldha","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Lef1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Lemd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Lfng","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ventral otocyst","Lfng","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Lgals1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Lgi1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lgi2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Lgi3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lgi3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Lgmn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Lgmn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lgr5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Lgr5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Lhfp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lhfp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lhfpl3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lhfpl4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Limk1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Lims2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Lin28b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Lin7a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lingo1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Martinotti cell","Lipa","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Llph","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lmbr1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lmcd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Lmcd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Lmna","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lmo1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Lmod1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lnp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","LOC100862268","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lonrf2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Lpar1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Lpar1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Lpcat2","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lpcat4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lpin1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lrch1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Lrfn2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Lrguk","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Lrig1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Lrig1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lrp11","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Interneuron-selective cell","Lrrc3b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lrrc45","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Lrrc48","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Lrrc4c","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Lrrc52","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Lrrc7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Lrrc75a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Lrrcc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Lrriq1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Lrrk2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Lrrn1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lrrn3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Lrrtm2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Lrrtm3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lsamp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Lsm11","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lsm3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lsmem1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Lsr","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Ltc4s","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Luzp1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Luzp2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Luzp2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Lxn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Ly6a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Ly6c1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Ly6c2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Ly6h","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Ly6h","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Ly75","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Ly86","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Lyn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Lyn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lynx1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Lypd1","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Lypd6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lypla1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Lysmd2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Macrod1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Maf","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Maf","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Mafb","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mafb","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Mag","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Mag","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Magee1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Magef1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Magi1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Magi1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Mal","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Maml3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Maml3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mamld1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Man1c1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Map1a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Map1b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuron","Map2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Map3k10","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Map3k7cl","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Map3k9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Map4k2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Map6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Map7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Map7d1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mapk12","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mapk3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Mapk4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mapk6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mapkapk2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mapkapk3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mapre3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Marcks","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Marcksl1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mark4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mast1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Matn4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Max","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Mbd2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mboat2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Mbp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mc4r","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Mcc","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mcf2l","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mcl1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Mcm6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mcmbp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Chandelier cell","Mctp2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mcts1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mcu","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Mdga1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Me1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Me3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Mecom","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mecp2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Med18","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Med24","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Med7","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Mef2c","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Megf10","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Megf11","Single-cell sequencing","2","DETAIL"
"Mouse","Brain","Brain","Normal cell","Bergmann glial cell","Meis1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Neuroblast","Meis2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Men1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Mertk","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Metrnl","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mettl14","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mettl21a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mettl22","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mfap3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Astrocyte","Mfge8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Quiescent neural stem cell","Mfge8","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mfhas1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mfn2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Endothelial cell","Mfsd2a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mgat3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Mgat4c","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IB spiral ganglion neuron","Mgat5b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Mgp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mgst3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Ependymal cell","Mia","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Interneuron-selective cell","Miat","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Mical1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mical1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mif","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mipep","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Mural cell","Mir143hg","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mir3064","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mitd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Basket cell","Mitf","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mkl2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Mknk1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mllt3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mlxip","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mmgt2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mmp14","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mmp15","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte precursor cell","Mmp16","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mmp16","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mmrn2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mob2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mob3c","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Mobp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","O cell","Mog","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Oligodendrocyte","Mog","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mon1a","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Morc3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Morn4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mospd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Basket cell","Moxd1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mpc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mpdu1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Microglial cell","Mpeg1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mpi","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mpp3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mpp6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mppe1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mprip","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mpv17l2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Macrophage","Mrc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrpl11","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrpl18","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrpl4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrpl42","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrpl45","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrps16","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrps17","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrps2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrps36","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrps6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Mrps6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrps9","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mrs2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Smooth muscle cell","Mrvi1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Msantd3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Msantd4","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Msh3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Msh6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Cajal-Retzius cell","Msi2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Msl3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IC spiral ganglion neuron","Mstn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","mt-Tl1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mt1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mt3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mta3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mtap","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mtcl1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mtfp1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mtfr1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type II spiral ganglion neuron","Mthfs","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mtif3","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mtmr6","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mtss1l","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type IA spiral ganglion neuron","Mturn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mtus1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mtus2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Type I spiral ganglion neuron","Mtx1","Single-cell sequencing","1","DETAIL"
